@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute cubeMode {0,1,2,3,4,5,6,7}
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
105,'2019/04/06 14:34:26:063',24,98,13,17,-27,1,0,0,0,0
106,'2019/04/06 14:34:26:162',24,102,15,23,-19,1,0,0,0,0
107,'2019/04/06 14:34:26:288',24,108,27,25,-19,1,0,0,0,0
108,'2019/04/06 14:34:31:694',25,123,140,32,-3,2,0,0,0,0
109,'2019/04/06 14:34:31:784',25,123,144,32,-3,2,0,0,0,0
110,'2019/04/06 14:34:31:905',25,123,144,27,-5,2,0,0,0,0
111,'2019/04/06 14:34:31:994',25,125,144,32,-3,2,0,0,0,0
112,'2019/04/06 14:34:32:161',25,127,140,34,-3,2,0,0,0,0
113,'2019/04/06 14:34:59:439',26,125,144,158,-15,3,0,0,0,0
114,'2019/04/06 14:34:59:552',26,123,146,156,-9,3,0,0,0,0
115,'2019/04/06 14:35:08:008',27,125,144,173,65,4,0,0,0,0
116,'2019/04/06 14:35:08:098',27,123,144,171,67,4,0,0,0,0
117,'2019/04/06 14:35:12:265',28,131,46,61,79,5,0,0,0,0
118,'2019/04/06 14:35:12:385',28,133,50,61,79,5,0,0,0,0
119,'2019/04/06 14:35:12:475',28,135,50,55,79,5,0,0,0,0
120,'2019/04/06 14:35:34:989',29,90,83,133,73,7,0,0,0,0
121,'2019/04/06 14:35:35:094',29,90,81,131,75,7,0,0,0,0
227,'2019/04/06 15:12:49:873',58,-7,127,187,86,?,0,?,?,?
228,'2019/04/06 15:12:49:963',58,-7,123,187,84,?,0,?,?,?
229,'2019/04/06 15:12:50:068',58,-5,129,185,88,?,0,?,?,?
230,'2019/04/06 15:12:50:173',58,-7,127,181,84,?,0,?,?,?
231,'2019/04/06 15:12:50:263',58,-11,127,181,86,?,0,?,?,?
232,'2019/04/06 15:12:50:368',58,-3,127,185,86,?,0,?,?,?
233,'2019/04/06 15:12:55:813',59,142,144,183,86,?,1,?,?,?
234,'2019/04/06 15:12:55:903',59,146,144,185,81,?,1,?,?,?
235,'2019/04/06 15:12:55:993',59,140,144,183,86,?,1,?,?,?
236,'2019/04/06 15:12:56:128',59,146,144,185,81,?,1,?,?,?
237,'2019/04/06 15:12:56:203',59,142,144,185,86,?,1,?,?,?
238,'2019/04/06 15:13:09:568',60,13,138,187,83,?,0.52,?,?,?
239,'2019/04/06 15:13:09:673',60,15,140,183,86,?,0.52,?,?,?
240,'2019/04/06 15:13:09:763',60,17,140,181,88,?,0.52,?,?,?
278,'2019/04/06 15:17:34:597',70,-11,23,32,-11,?,?,0,?,?
279,'2019/04/06 15:17:34:672',70,-11,23,27,-9,?,?,0,?,?
280,'2019/04/06 15:17:34:792',70,-13,21,30,-9,?,?,0,?,?
281,'2019/04/06 15:17:34:867',70,-11,21,30,-11,?,?,0,?,?
282,'2019/04/06 15:17:41:121',71,32,67,92,32,?,?,0.49,?,?
283,'2019/04/06 15:17:41:227',71,32,61,92,34,?,?,0.49,?,?
284,'2019/04/06 15:17:41:347',71,32,67,94,34,?,?,0.49,?,?
285,'2019/04/06 15:17:50:181',72,75,84,108,46,?,?,0.77,?,?
286,'2019/04/06 15:17:50:301',72,73,84,110,44,?,?,0.77,?,?
287,'2019/04/06 15:17:50:391',72,79,84,110,42,?,?,0.77,?,?
288,'2019/04/06 15:17:50:511',72,73,79,110,42,?,?,0.77,?,?
289,'2019/04/06 15:17:54:141',73,140,164,185,75,?,?,1,?,?
290,'2019/04/06 15:17:54:261',73,138,162,187,75,?,?,1,?,?
291,'2019/04/06 15:17:54:351',73,140,164,183,75,?,?,1,?,?
292,'2019/04/06 15:17:54:456',73,138,162,185,75,?,?,1,?,?
293,'2019/04/06 15:18:40:115',74,125,154,187,73,?,?,0.94,?,?
294,'2019/04/06 15:18:40:265',74,127,154,187,71,?,?,0.94,?,?
295,'2019/04/06 15:18:40:325',74,125,154,185,69,?,?,0.94,?,?
296,'2019/04/06 15:18:40:430',74,127,154,187,71,?,?,0.94,?,?
297,'2019/04/06 15:19:00:665',75,-11,30,46,-3,?,?,0.16,?,?
298,'2019/04/06 15:19:00:770',75,-15,36,44,0,?,?,0.16,?,?
299,'2019/04/06 15:19:00:875',75,-7,36,46,1,?,?,0.16,?,?
300,'2019/04/06 15:19:12:740',76,98,140,169,65,?,?,0.77,?,?
301,'2019/04/06 15:19:12:829',76,96,140,171,61,?,?,0.77,?,?
302,'2019/04/06 15:19:12:964',76,88,137,169,65,?,?,0.77,?,?
303,'2019/04/06 15:19:13:039',76,98,137,173,63,?,?,0.77,?,?
304,'2019/04/06 15:19:22:864',77,110,152,179,67,?,?,1,?,?
305,'2019/04/06 15:19:22:939',77,115,152,181,63,?,?,1,?,?
306,'2019/04/06 15:19:23:059',77,119,158,185,69,?,?,1,?,?
307,'2019/04/06 15:19:23:179',77,129,162,183,71,?,?,1,?,?
308,'2019/04/06 15:19:23:254',77,127,164,194,77,?,?,1,?,?
313,'2019/04/06 15:22:13:755',79,129,150,187,79,?,1,?,?,?
314,'2019/04/06 15:22:13:875',79,129,152,183,77,?,1,?,?,?
315,'2019/04/06 15:22:13:935',79,127,152,187,79,?,1,?,?,?
316,'2019/04/06 15:22:14:055',79,129,152,185,77,?,1,?,?,?
317,'2019/04/06 15:22:33:075',80,46,140,175,75,?,0.76,?,?,?
318,'2019/04/06 15:22:33:135',80,42,138,175,77,?,0.76,?,?,?
319,'2019/04/06 15:22:33:240',80,50,138,177,77,?,0.76,?,?,?
320,'2019/04/06 15:22:53:054',81,28,125,166,77,?,0.67,?,?,?
321,'2019/04/06 15:22:53:174',81,27,125,169,77,?,0.67,?,?,?
322,'2019/04/06 15:23:15:299',82,131,144,171,79,?,1,?,?,?
